name,geoid,population
Appling County,13001,"18,428"
Atkinson County,13003,"8,183"
Bacon County,13005,"11,191"
Baker County,13007,"2,788"
Baldwin County,13009,"43,635"
Banks County,13011,"19,328"
Barrow County,13013,"89,299"
Bartow County,13015,"112,816"
Ben Hill County,13017,"17,069"
Berrien County,13019,"18,214"
Bibb County,13021,"156,197"
Bleckley County,13023,"12,257"
Brantley County,13025,"18,183"
Brooks County,13027,"16,253"
Bryan County,13029,"48,225"
Bulloch County,13031,"83,059"
Burke County,13033,"24,388"
Butts County,13035,"26,649"
Calhoun County,13037,"5,469"
Camden County,13039,"57,013"
Candler County,13043,"11,000"
Carroll County,13045,"124,592"
Catoosa County,13047,"68,826"
Charlton County,13049,"12,781"
Chatham County,13051,"301,107"
Chattahoochee County,13053,"8,819"
Chattooga County,13055,"24,936"
Cherokee County,13057,"281,278"
Clarke County,13059,"129,875"
Clay County,13061,"2,845"
Clayton County,13063,"296,564"
Clinch County,13065,"6,662"
Cobb County,13067,"771,952"
Coffee County,13069,"43,172"
Colquitt County,13071,"45,762"
Columbia County,13073,"162,419"
Cook County,13075,"17,404"
Coweta County,13077,"152,882"
Crawford County,13079,"12,140"
Crisp County,13081,"19,708"
Dade County,13083,"16,081"
Dawson County,13085,"30,138"
DeKalb County,13089,"762,820"
Decatur County,13087,"28,982"
Dodge County,13091,"19,802"
Dooly County,13093,"10,572"
Dougherty County,13095,"82,966"
Douglas County,13097,"147,316"
Early County,13099,"10,574"
Echols County,13101,"3,686"
Effingham County,13103,"69,041"
Elbert County,13105,"19,814"
Emanuel County,13107,"22,929"
Evans County,13109,"10,695"
Fannin County,13111,"25,737"
Fayette County,13113,"122,030"
Floyd County,13115,"99,443"
Forsyth County,13117,"267,237"
Franklin County,13119,"24,128"
Fulton County,13121,"1,074,634"
Gilmer County,13123,"32,407"
Glascock County,13125,"2,939"
Glynn County,13127,"85,079"
Gordon County,13129,"58,954"
Grady County,13131,"26,008"
Greene County,13133,"20,139"
Gwinnett County,13135,"975,353"
Habersham County,13137,"47,475"
Hall County,13139,"212,692"
Hancock County,13141,"8,387"
Haralson County,13143,"31,337"
Harris County,13145,"36,276"
Hart County,13147,"26,909"
Heard County,13149,"11,725"
Henry County,13151,"248,364"
Houston County,13153,"169,631"
Irwin County,13155,"9,126"
Jackson County,13157,"83,936"
Jasper County,13159,"15,951"
Jeff Davis County,13161,"14,889"
Jefferson County,13163,"15,314"
Jenkins County,13165,"8,689"
Johnson County,13167,"9,242"
Jones County,13169,"28,472"
Lamar County,13171,"19,467"
Lanier County,13173,"10,171"
Laurens County,13175,"49,660"
Lee County,13177,"33,642"
Liberty County,13179,"68,030"
Lincoln County,13181,"7,841"
Long County,13183,"18,348"
Lowndes County,13185,"119,739"
Lumpkin County,13187,"34,796"
Macon County,13193,"11,765"
Madison County,13195,"31,473"
Marion County,13197,"7,449"
McDuffie County,13189,"21,713"
McIntosh County,13191,"11,180"
Meriwether County,13199,"20,845"
Miller County,13201,"5,807"
Mitchell County,13205,"21,116"
Monroe County,13207,"29,427"
Montgomery County,13209,"8,655"
Morgan County,13211,"21,031"
Murray County,13213,"40,472"
Muscogee County,13215,"202,616"
Newton County,13217,"117,621"
Oconee County,13219,"43,588"
Oglethorpe County,13221,"15,469"
Paulding County,13223,"178,421"
Peach County,13225,"28,562"
Pickens County,13227,"34,826"
Pierce County,13229,"20,168"
Pike County,13231,"19,990"
Polk County,13233,"43,709"
Pulaski County,13235,"9,984"
Putnam County,13237,"22,984"
Quitman County,13239,"2,249"
Rabun County,13241,"17,206"
Randolph County,13243,"6,116"
Richmond County,13245,"206,640"
Rockdale County,13247,"94,984"
Schley County,13249,"4,496"
Screven County,13251,"13,977"
Seminole County,13253,"9,127"
Spalding County,13255,"68,919"
Stephens County,13257,"26,767"
Stewart County,13259,"4,648"
Sumter County,13261,"28,877"
Talbot County,13263,"5,747"
Taliaferro County,13265,"1,600"
Tattnall County,13267,"24,064"
Taylor County,13269,"7,737"
Telfair County,13271,"12,354"
Terrell County,13273,"8,754"
Thomas County,13275,"45,561"
Tift County,13277,"41,412"
Toombs County,13279,"26,837"
Towns County,13281,"12,972"
Treutlen County,13283,"6,365"
Troup County,13285,"70,191"
Turner County,13287,"8,842"
Twiggs County,13289,"7,680"
Union County,13291,"26,388"
Upson County,13293,"28,086"
Walker County,13295,"68,915"
Walton County,13297,"103,065"
Ware County,13299,"35,614"
Warren County,13301,"5,155"
Washington County,13303,"19,738"
Wayne County,13305,"30,896"
Webster County,13307,"2,328"
Wheeler County,13309,"7,314"
White County,13311,"28,806"
Whitfield County,13313,"103,132"
Wilcox County,13315,"8,761"
Wilkes County,13317,"9,599"
Wilkinson County,13319,"8,681"
Worth County,13321,"20,424"